study,profession,pop,creative_group,control_group,h,rl_sm,n_creative,n_left_creative,n_right_creative,n_control,n_left_control,n_right_control,PL_creative,PL_control,es_type,lower,effect,upper,chi_sq,p,correction,method,notes,comparison_details,pref_success,include,exclude_rnr,model_obj
peterson_1979,Art/Architecture,Students,"Design, Arch., Art",Sciences,Drawing hand,R/L,147,18,129,92,4,88,12.244897959183673,4.3478260869565215,OR,1.0468459645941859,3.069767441860465,8.956901135808451,NA,NA,NA,Score,NA,R/L,preference,0,0,
peterson_1979,Art/Architecture,Students,"Design, Arch., Art",Sciences,Drawing hand,R/L,147,18,129,92,4,88,12.244897959183673,4.3478260869565215,RR,0.9839497214268781,2.816326530612245,8.061077669220975,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,NA,R/L,preference,0,0,
peterson_1979,Art/Architecture,Students,"Design, Arch., Art",Behavioral Sciences,Drawing hand,R/L,147,18,129,90,8,82,12.244897959183673,8.88888888888889,OR,0.6046591453541774,1.4302325581395348,3.372876675209616,NA,NA,NA,Score,NA,R/L,preference,0,0,
peterson_1979,Art/Architecture,Students,"Design, Arch., Art",Behavioral Sciences,Drawing hand,R/L,147,18,129,90,8,82,12.244897959183673,8.88888888888889,RR,0.6249248348115655,1.3775510204081631,3.0366000967136664,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,NA,R/L,preference,0,0,
peterson_1979,Art/Architecture,Students,"Design, Arch., Art",Business Admin.,Drawing hand,R/L,147,18,129,241,23,218,12.244897959183673,9.54356846473029,OR,0.6924812180264324,1.3225480283114255,2.525892748651671,NA,NA,NA,Score,NA,R/L,preference,0,0,
peterson_1979,Art/Architecture,Students,"Design, Arch., Art",Business Admin.,Drawing hand,R/L,147,18,129,241,23,218,12.244897959183673,9.54356846473029,RR,0.7171664752759463,1.2830523513753327,2.2954549510088964,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,NA,R/L,preference,0,0,
peterson_1979,Art/Architecture,Students,"Design, Arch., Art",Engineering,Drawing hand,R/L,147,18,129,75,8,67,12.244897959183673,10.666666666666668,OR,0.4910968079771747,1.1686046511627908,2.7724637552022258,NA,NA,NA,Score,NA,R/L,preference,0,0,
peterson_1979,Art/Architecture,Students,"Design, Arch., Art",Engineering,Drawing hand,R/L,147,18,129,75,8,67,12.244897959183673,10.666666666666668,RR,0.5236001612667929,1.1479591836734693,2.5168255949195304,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,NA,R/L,preference,0,0,
peterson_1979,Art/Architecture,Students,"Design, Arch., Art",Nursing,Drawing hand,R/L,147,18,129,71,3,68,12.244897959183673,4.225352112676056,OR,0.9537976113368686,3.1627906976744184,10.41468485235054,NA,NA,NA,Score,NA,R/L,preference,0,0,
peterson_1979,Art/Architecture,Students,"Design, Arch., Art",Nursing,Drawing hand,R/L,147,18,129,71,3,68,12.244897959183673,4.225352112676056,RR,0.8825243089957405,2.8979591836734695,9.516074905397238,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,NA,R/L,preference,0,0,
peterson_1979,Art/Architecture,Students,"Design, Arch., Art","Non-art, music",Drawing hand,R/L,147,18,129,569,46,523,12.244897959183673,8.084358523725834,OR,0.8953214908307296,1.5864509605662285,2.813898139085442,NA,NA,NA,Score,NA,R/L,preference,1,0,
peterson_1979,Art/Architecture,Students,"Design, Arch., Art","Non-art, music",Drawing hand,R/L,147,18,129,569,46,523,12.244897959183673,8.084358523725834,RR,0.9060409885875161,1.5146406388642413,2.5320446798720986,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,NA,R/L,preference,1,0,
peterson_1979,Music,Students,Music,Sciences,Drawing hand,R/L,47,7,40,92,4,88,14.893617021276595,4.3478260869565215,OR,1.1256156050074435,3.8499999999999996,13.089615476862992,NA,NA,NA,Score,NA,R/L,preference,0,0,
peterson_1979,Music,Students,Music,Sciences,Drawing hand,R/L,47,7,40,92,4,88,14.893617021276595,4.3478260869565215,RR,1.0556088360423481,3.4255319148936167,11.116114700165298,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,NA,R/L,preference,0,0,
peterson_1979,Music,Students,Music,Behavioral Sciences,Drawing hand,R/L,47,7,40,90,8,82,14.893617021276595,8.88888888888889,OR,0.6271784950853917,1.7937499999999997,5.1404462739512615,NA,NA,NA,Score,NA,R/L,preference,0,0,
peterson_1979,Music,Students,Music,Behavioral Sciences,Drawing hand,R/L,47,7,40,90,8,82,14.893617021276595,8.88888888888889,RR,0.6472998590984071,1.675531914893617,4.337104602088703,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,NA,R/L,preference,0,0,
peterson_1979,Music,Students,Music,Business Admin.,Drawing hand,R/L,47,7,40,241,23,218,14.893617021276595,9.54356846473029,OR,0.6825753178837463,1.658695652173913,4.0509158339994515,NA,NA,NA,Score,NA,R/L,preference,0,0,
peterson_1979,Music,Students,Music,Business Admin.,Drawing hand,R/L,47,7,40,241,23,218,14.893617021276595,9.54356846473029,RR,0.7109556448225252,1.5605920444033303,3.425597007057907,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,NA,R/L,preference,0,0,
peterson_1979,Music,Students,Music,Engineering,Drawing hand,R/L,47,7,40,75,8,67,14.893617021276595,10.666666666666668,OR,0.509386750096948,1.465625,4.225384546326028,NA,NA,NA,Score,NA,R/L,preference,0,0,
peterson_1979,Music,Students,Music,Engineering,Drawing hand,R/L,47,7,40,75,8,67,14.893617021276595,10.666666666666668,RR,0.5418485744798573,1.3962765957446808,3.598031670925488,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,NA,R/L,preference,0,0,
peterson_1979,Music,Students,Music,Nursing,Drawing hand,R/L,47,7,40,71,3,68,14.893617021276595,4.225352112676056,OR,1.0420985514186385,3.9666666666666663,14.948645617901176,NA,NA,NA,Score,NA,R/L,preference,0,0,
peterson_1979,Music,Students,Music,Nursing,Drawing hand,R/L,47,7,40,71,3,68,14.893617021276595,4.225352112676056,RR,0.9593612182293287,3.524822695035461,12.950674673266901,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,NA,R/L,preference,0,0,
peterson_1979,Music,Students,Music,"Non-art, music",Drawing hand,R/L,47,7,40,569,46,523,14.893617021276595,8.084358523725834,OR,0.8615961130769434,1.9896739130434782,4.608528877030263,NA,NA,NA,Score,NA,R/L,preference,1,0,
peterson_1979,Music,Students,Music,"Non-art, music",Drawing hand,R/L,47,7,40,569,46,523,14.893617021276595,8.084358523725834,RR,0.8812358032812909,1.8422756706753005,3.851386466737517,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,NA,R/L,preference,1,0,
mebert_1980,Art,Students,Art,Non-Art,HPQ,R/L,75,21,54,86,7,79,28.000000000000004,8.13953488372093,OR,1.7721112711299067,4.388888888888889,10.815529772431132,NA,NA,NA,Score,NA,SR/SL,preference,1,0,
mebert_1980,Art,Students,Art,Non-Art,HPQ,R/L,75,21,54,86,7,79,28.000000000000004,8.13953488372093,RR,1.549742770476415,3.44,7.635847848712447,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,NA,SR/SL,preference,1,0,
mebert_1980,Art,Students,Art,Non-Art,HPQ,S/M,103,49,54,101,22,79,47.57281553398058,21.782178217821784,OR,1.772140786496867,3.2584175084175087,5.991219625473344,NA,NA,NA,Score,NA,SR/(M+SL),preference,1,1,
mebert_1980,Art,Students,Art,Non-Art,HPQ,S/M,103,49,54,101,22,79,47.57281553398058,21.782178217821784,RR,1.4328272612390813,2.1840247131509267,3.3290572260113303,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,NA,SR/(M+SL),preference,1,1,
mebert_1980,Art,Students,Art,Non-Art,HPQ,S/M,103,28,75,101,15,86,27.184466019417474,14.85148514851485,OR,1.0692982716794257,2.1404444444444444,4.280307576921791,NA,NA,NA,Score,NA,(SR+SL)/M,preference,1,0,
mebert_1980,Art,Students,Art,Non-Art,HPQ,S/M,103,28,75,101,15,86,27.184466019417474,14.85148514851485,RR,1.0415025423083817,1.83042071197411,3.216929240900274,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,NA,(SR+SL)/M,preference,1,0,
coren_1982,Art/Science,Students,Science/Visual  Art,Lang/Lit,13i_3pt,R/L,225,28,197,262,27,235,12.444444444444445,10.305343511450381,OR,0.7086950880556667,1.2370746380898665,2.159396454127768,NA,NA,NA,Score,NA,0 split,preference,1,0,
coren_1982,Art/Science,Students,Science/Visual  Art,Lang/Lit,13i_3pt,R/L,225,28,197,262,27,235,12.444444444444445,10.305343511450381,RR,0.7340933277919768,1.2075720164609052,1.9864370369984914,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,NA,0 split,preference,1,0,
coren_1982,Art/Science,Students,Science/Visual  Art,Lang/Lit,13i_3pt,S/M,225,69,156,262,21,241,30.666666666666664,8.015267175572518,OR,3.0024531466916202,5.076007326007326,8.581599483765876,NA,NA,NA,Score,NA,SR/(M+SL),preference,1,0,
coren_1982,Art/Science,Students,Science/Visual  Art,Lang/Lit,13i_3pt,S/M,225,69,156,262,21,241,30.666666666666664,8.015267175572518,RR,2.4278457330556362,3.826031746031746,6.02942712641754,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,NA,SR/(M+SL),preference,1,0,
